gid,nom_barrio,esquina,calle,calle2,suj-column,nro_artef,sem-artef,sem-arte_2,sem-arte_3,sem-arte_4,sem-arte_5,sem-arte_6,artef_camb,viscera,lampcambio,led,tipo led,suj-soport,de-cargado,de-bateria,de-cabl al,de_cam s_n,c-estado,lng,lat
70,NULL,70,AV. 3 DE ABRIL,PARAGUAY,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,ningu,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.827520240329704,-27.476599126383967
522,CENTRO,NULL,HIPOLITO IRIGOYEN,MENDOZA,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-58.835568936397344,-27.46861283191026
71,NULL,71,AV. 3 DE ABRIL,BRASIL,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.82493753152805,-27.477358611590063
72,NULL,72,AV. 3 DE ABRIL,BRASIL,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82487402232713,-27.477243573895546
73,NULL,73,AV. 3 DE ABRIL,BRASIL,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82514393657683,-27.477121493009555
74,NULL,74,AV. 3 DE ABRIL,BRASIL,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.825128059292695,-27.477025236787536
75,NULL,75,AV. 3 DE ABRIL,BRASIL,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82508042739719,-27.47691724189616
76,NULL,76,AV. 3 DE ABRIL,ROCA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.82358796038546,-27.47752529837504
77,NULL,77,AV. 3 DE ABRIL,ROCA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,ningu,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.823585314195604,-27.477407913160615
78,NULL,78,AV. 3 DE ABRIL,ROCA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82372291757078,-27.477210705745772
79,NULL,79,AV. 3 DE ABRIL,ROCA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.82369380920581,-27.477079233916882
80,NULL,80,AV. 3 DE ABRIL,ROCA,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.823558852088794,-27.477107406438066
81,NULL,81,AV. 3 DE ABRIL,AV. ARTIGAS,"con pescante 5,5m.",3,1*300+2*200,3*200,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81993617964514,-27.477983098821387
82,NULL,82,AV. 3 DE ABRIL,AV. ARMENIA,"con pescante 5,5m.",2,3*200,3*300,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8199203023694,-27.477851627916728
83,NULL,83,AV. 3 DE ABRIL,AV. ARTIGAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81984885455521,-27.477567556312053
84,NULL,84,AV. 3 DE ABRIL,AV. ARTIGAS,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.819597463854,-27.47759103328316
85,NULL,85,AV. 3 DE ABRIL,AV. ARTIGAS,"con pescante 5,5m.",3,3*200,3*300,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81961740690712,-27.477921728385912
86,NULL,86,AV. 3 DE ABRIL,AV. ARTIGAS,"con pescante 5,5m.",3,3*200,3*300,2*200,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,si,bueno,no,bueno,-58.81965303432693,-27.478018314161123
87,NULL,87,AV. PEDRO FERRE,CHILE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,12V,no,bueno,no,bueno,-58.81717617434881,-27.478319991767304
88,NULL,88,AV. PEDRO FERRE,CHILE,"con pescante 5,5m.",3,3*300,3*200,"3*200
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.817174851268426,-27.47820025971126
89,NULL,89,AV. PEDRO FERRE,CHILE,"con pescante 5,5m.",3,3*200,"2*200
","3*200
",ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8172886386583,-27.478106352147087
90,NULL,90,AV. PEDRO FERRE,CHILE,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.8172714382669,-27.47800305370705
91,NULL,91,AV. PEDRO FERRE,CHILE,baja recta 3m.,2,1*300+2*200,1*300+2*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81712721941515,-27.477915015162765
92,NULL,92,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.814871318530734,-27.478618147059233
93,NULL,93,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",4,3*200,3*300,2*200,2*200,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.81485808749298,-27.47840216030905
94,NULL,94,AV. INDEPENDENCIA,AV. CHACABUCO,"con pescante 5,5m.",2,1*300+2*200,3*200,ninguno,ninguno,ninguno,ninguno,no,200,no,amarillo 200,12v,doble,24V,no,bueno,no,bueno,-58.814746946391416,-27.478200259249604
