,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
52,224975,2024-06-17,15:10:00,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,3,0,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Camioneta/Utilitario
53,224975,2024-06-17,15:10:00,Urbana,Avenida,AV 3 DE ABRIL,1400,CATAMARCA,,,3,0,0,3,0,Colisión entre vehículos,3,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
54,216589,2024-06-15,10:56:00,Urbana,Calle,PLACIDO MARTINEZ,1056,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Automóvil
55,216589,2024-06-15,10:56:00,Urbana,Calle,PLACIDO MARTINEZ,1056,,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Seca,Ninguna,Día,,,Sin Semáforo,Bicicleta
56,217515,2024-06-13,22:30:00,Urbana,Calle,CATAMARCA,1000,BELGRANO,,,3,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Automóvil
57,217515,2024-06-13,22:30:00,Urbana,Calle,CATAMARCA,1000,BELGRANO,,,3,0,0,2,0,Colisión entre vehículos,2,S/D,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
58,224098,2024-06-11,8:35:00,Urbana,Avenida,AV 3 DE ABRIL,100,,,,0,1,0,1,0,Choque,1,S/D,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
59,218238,2024-06-10,16:51:00,Urbana,Avenida,AV SARMIENTO,2200,A.C. FERNANDEZ,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,,Automóvil
60,218238,2024-06-10,16:51:00,Urbana,Avenida,AV SARMIENTO,2200,A.C. FERNANDEZ,,,1,1,0,2,0,Colisión entre vehículos,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,,Motocicleta
61,228607,2024-06-09,13:05:00,Urbana,Calle,RAMON CARRILLO (EX VIA),1500,GUTENBERG,,,1,1,0,2,0,Colisión entre vehículos,2,S/D,,Apto,Mojada,Ninguna,Día,,S/D,Sin Semáforo,Automóvil
