,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,tipo_colision,cantidad_de_involucrados,cono_de_vision,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,barreras_de_seguridad,luminosidad,luz_artificial,estado_ambiental,semaforo,tipo_involucrado
32,177716,2023-12-10,07:50:00,Urbana,Calle,RECONQUISTA,3140,EX VÍA,-2.749.371,-5.881.594,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
33,177716,2023-12-10,07:50:00,Urbana,Calle,RECONQUISTA,3140,EX VÍA,-2.749.371,-5.881.594,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
34,194953,2023-12-09,12:50:00,Urbana,Avenida,AV CENTENARIO,3076,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
35,194953,2023-12-09,12:50:00,Urbana,Avenida,AV CENTENARIO,3076,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
36,199930,2023-12-09,19:20:00,Urbana,Avenida,AV LA PAZ,180,RIO NEGRO,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,S/D,Automóvil
37,199930,2023-12-09,19:20:00,Urbana,Avenida,AV LA PAZ,180,RIO NEGRO,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,S/D,Motocicleta
38,207203,2023-12-09,12:57:00,Urbana,Avenida,AV CHACABUCO,1700,LA VALLE,-2.747.916,-5.881.494,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Mojada,Asfalto,,,Despejado,Sin Semáforo,Automóvil
39,207203,2023-12-09,12:57:00,Urbana,Avenida,AV CHACABUCO,1700,LA VALLE,-2.747.916,-5.881.494,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Mojada,Asfalto,,,Despejado,Sin Semáforo,Motocicleta
40,194948,2023-12-08,10:15:00,Urbana,Calle,RIOJA,790,,,,1.0,1.0,0.0,1.0,1.0,Atropello a peatón/es,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Automóvil
41,194948,2023-12-08,10:15:00,Urbana,Calle,RIOJA,790,,,,1.0,1.0,0.0,1.0,1.0,Atropello a peatón/es,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Funciona,Peatón
42,177775,2023-12-08,13:40:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,1250,MENDOZA,-2.747.576,-5.883.597,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Otro,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Automóvil
43,177775,2023-12-08,13:40:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,1250,MENDOZA,-2.747.576,-5.883.597,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Otro,Apto,Seca,Ninguna,Día,,Despejado,Funciona,Motocicleta
44,186727,2023-12-08,14:10:00,Urbana,Avenida,CARTAGENA,3900,LAS PIEDRAS,,,1.0,0.0,0.0,1.0,0.0,Colisión entre vehículos,,1,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
45,197452,2023-12-05,09:15:00,Urbana,Avenida,TENIENTE IBAÑEZ,800,GOBERNADOR RUIZ,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
46,197452,2023-12-05,09:15:00,Urbana,Avenida,TENIENTE IBAÑEZ,800,GOBERNADOR RUIZ,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
47,181847,2023-12-05,23:00:00,Urbana,Avenida,AV MAIPU,2200,RECONQUISTA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,S/D,Motocicleta
48,181847,2023-12-05,23:00:00,Urbana,Avenida,AV MAIPU,2200,RECONQUISTA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Noche,SI,Despejado,S/D,Motocicleta
49,212423,2023-12-04,00:05:00,Urbana,Calle,JUNIN,600,TUCUMAN,,,0.0,3.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
50,212423,2023-12-04,00:05:00,Urbana,Calle,JUNIN,600,TUCUMAN,,,0.0,3.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Noche,NO,Despejado,Sin Semáforo,Motocicleta
51,214658,2023-11-30,09:00:00,Urbana,Ruta Nacional,12,1034,AV LIBERTAD,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,Pasto,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
52,214658,2023-11-30,09:00:00,Urbana,Ruta Nacional,12,1034,AV LIBERTAD,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,Pasto,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
53,198236,2023-11-25,07:40:00,Urbana,Avenida,MAIPU,404,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,S/D,Automóvil
54,198236,2023-11-25,07:40:00,Urbana,Avenida,MAIPU,404,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,,Asfalto,Apto,Seca,Asfalto,Día,,Despejado,S/D,Bicicleta
55,181821,2023-11-20,12:00:00,Urbana,Calle,SAN JUAN,3700,IBERA,,,0.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
56,181821,2023-11-20,12:00:00,Urbana,Calle,SAN JUAN,3700,IBERA,,,0.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Tracción a sangre
57,189212,2023-11-17,06:30:00,Urbana,Calle,CUBA,5100,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,S/D,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Automóvil
58,189212,2023-11-17,06:30:00,Urbana,Calle,CUBA,5100,,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,S/D,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
59,189277,2023-11-11,09:35:00,Urbana,Calle,GODOY CRUZ,1700,PASAJE ACEVEDO,,,1.0,0.0,1.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Motocicleta
60,189277,2023-11-11,09:35:00,Urbana,Calle,GODOY CRUZ,1700,PASAJE ACEVEDO,,,1.0,0.0,1.0,2.0,0.0,Colisión entre vehículos,,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Transporte de carga
61,201240,2023-11-08,02:45:00,Urbana,Avenida,MAIPU,1235,LION,,,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
62,201240,2023-11-08,02:45:00,Urbana,Avenida,MAIPU,1235,LION,,,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,Lateral,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
63,176189,2023-11-08,09:55:00,Urbana,Avenida,AAVENIDA 3 DE ABRIL,869,,-2.747.508,-5.884.063,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Automóvil
64,176189,2023-11-08,09:55:00,Urbana,Avenida,AAVENIDA 3 DE ABRIL,869,,-2.747.508,-5.884.063,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,No obstruido,Asfalto,Apto,Seca,Ninguna,Día,,Despejado,S/D,Motocicleta
65,180122,2023-11-05,09:15:00,Urbana,Calle,RIOJA,1071,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,S/D,Apto,Seca,S/D,Día,,Despejado,S/D,Bicicleta
66,180122,2023-11-05,09:15:00,Urbana,Calle,RIOJA,1071,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,S/D,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
67,177721,2023-11-05,08:05:00,Urbana,Avenida,CHACABUCO,2800,TAMPICO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
68,177721,2023-11-05,08:05:00,Urbana,Avenida,CHACABUCO,2800,TAMPICO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
69,186752,2023-11-05,08:15:00,Urbana,Avenida,AV SARMIENTO,1600,RAMON CARRILLO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Camioneta/Utilitario
70,186752,2023-11-05,08:15:00,Urbana,Avenida,AV SARMIENTO,1600,RAMON CARRILLO,,,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,S/D,Asfalto,Apto,Seca,S/D,Día,,Despejado,Sin Semáforo,Transporte de pasajeros
71,201236,2023-11-05,09:45:00,Urbana,Calle,CARTAGENA,3800,TACUARI,,,0.0,1.0,0.0,1.0,0.0,Caída desde vehículo,,1,,Asfalto,Ahuellamiento,Seca,S/D,Día,,Niebla / Neblina,S/D,Motocicleta
72,193981,2023-11-04,08:16:00,Urbana,Calle,COMODORO RIVADAVIA,2200,CIUDAD DE AREQUIPA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Automóvil
73,193981,2023-11-04,08:16:00,Urbana,Calle,COMODORO RIVADAVIA,2200,CIUDAD DE AREQUIPA,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,Angulo,2,,Asfalto,Apto,Seca,S/D,Día,,Despejado,S/D,Motocicleta
74,196781,2023-11-04,11:00:00,Urbana,Avenida,INDEPENDENCIA,4380,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Motocicleta
75,196781,2023-11-04,11:00:00,Urbana,Avenida,INDEPENDENCIA,4380,,,,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,,2,,Asfalto,Apto,Seca,,Día,,Despejado,Sin Semáforo,Automóvil
