,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
40,97579,2021-12-13,14:20:00,Urbana,Avenida,AV R.R.ALFONSIN,LOS TILOS,-2.747.402,-5.880.132,3.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
41,108889,2021-12-12,11:50:00,Urbana,Calle,CHUBUT,,-2.748.819,-5.883.843,2.0,0,0.0,2,0.0,Lateral,2,Hormigón,Apto,,Día,NO,Nublado,Buena,Sin Semáforo
42,119967,2021-12-12,10:30:00,Urbana,Calle,25 DE mayo,,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
43,121701,2021-12-12,09:09:00,Urbana,Calle,GENERAL PAZ,GENERAL GUEMES,,,2.0,0,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
44,98234,2021-12-10,22:30:00,Urbana,Avenida,AV SANTA ROSA,,-2.748.054,-5.882.016,0.0,1,0.0,1,0.0,,1,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
45,100025,2021-12-10,17:15:00,Urbana,Calle,BOLIVAR,PARAGUAY,,,1.0,1,0.0,2,0.0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
46,119117,2021-12-10,07:50:00,Urbana,Calle,,,,,0.0,0,0.0,1,0.0,Frontal,1,Ripio,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
47,108417,2021-12-10,13:30:00,Urbana,Avenida,AV CHACABUCO,GENERAL PAZ,,,2.0,0,0.0,2,0.0,Alcance,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
48,121560,2021-12-10,12:45:00,Urbana,Calle,SAN MARTIN,CORDOBA,,,2.0,0,0.0,2,0.0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,
49,116012,2021-12-09,14:15:00,Urbana,Avenida,AV MAIPU,,-2.748.402,-5.882.494,1.0,2,0.0,2,0.0,,2,Asfalto,Apto,Seca,,NO,Despejado,Buena,Sin Semáforo
