,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
509,57253,2019-08-10,06:20:00,Urbana,Avenida,AVENIDA ARMENIA,3200,MEXICO,-2.746.769,-5.881.406,0,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Amanecer,SI,Lluvia,,Sin Semáforo,Motocicleta
510,57253,2019-08-10,06:20:00,Urbana,Avenida,AVENIDA ARMENIA,3200,MEXICO,-2.746.769,-5.881.406,0,2,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Mojada,Amanecer,SI,Lluvia,,Sin Semáforo,Motocicleta
511,49356,2019-08-10,10:05:00,Urbana,Calle,SAN MARTIN,3000,ESTADOS UNIDOS,-2.747.207,-5.881.436,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
512,49356,2019-08-10,10:05:00,Urbana,Calle,SAN MARTIN,3000,ESTADOS UNIDOS,-2.747.207,-5.881.436,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
513,62896,2019-08-10,18:20:00,Urbana,Avenida,CHACABUCO,2999,NECOCHEA,-2.748.212,-5.881.546,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
514,62896,2019-08-10,18:20:00,Urbana,Avenida,CHACABUCO,2999,NECOCHEA,-2.748.212,-5.881.546,2,0,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
515,52271,2019-08-10,12:44:00,Urbana,Avenida,AV CAZADORES CORRENTINO,3350,JUAN JOSE PASO,-2.748.723,-5.881.208,0,1,0,1,0,Despiste,1,Hormigón,Apto,Despejada,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
516,53678,2019-08-10,06:00:00,Urbana,Calle,MISIONES,2800,LAS HERAS,-2.748.279,-5.881.805,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Amanecer,SI,Nublado,Buena,Sin Semáforo,Automóvil
517,53678,2019-08-10,06:00:00,Urbana,Calle,MISIONES,2800,LAS HERAS,-2.748.279,-5.881.805,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,,Amanecer,SI,Nublado,Buena,Sin Semáforo,Automóvil
518,49456,2019-08-10,17:00:00,Urbana,Avenida,AV TTE IBAÑEZ,1600,GDOR VELAZCO,-2.748.582,-5.883.438,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
519,49456,2019-08-10,17:00:00,Urbana,Avenida,AV TTE IBAÑEZ,1600,GDOR VELAZCO,-2.748.582,-5.883.438,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Motocicleta
520,49482,2019-08-08,23:20:00,Urbana,Calle,PARAGUAY,900,JUNIN,-2.746.851,-5.882.663,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Lluvia,Buena,Sin Semáforo,Automóvil
