,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,altura_km,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_colision,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,tipo_involucrado
165,91660,2020-10-26,16:50:00,Urbana,Avenida,AV 3 DE ABRIL,1000,LA RIOJA (BANDA CENTRAL SUR ),-2.747.556,-5.883.906,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
166,91660,2020-10-26,16:50:00,Urbana,Avenida,AV 3 DE ABRIL,1000,LA RIOJA (BANDA CENTRAL SUR ),-2.747.556,-5.883.906,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,Automóvil
167,87364,2020-10-25,07:45:00,Urbana,Ruta Nacional,12,5KM,,-2.751.733,-5.876.819,0,2,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,SI,Despejado,,Sin Semáforo,Motocicleta
168,87364,2020-10-25,07:45:00,Urbana,Ruta Nacional,12,5KM,,-2.751.733,-5.876.819,0,2,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,SI,Despejado,,Sin Semáforo,Motocicleta
169,79451,2020-10-24,09:50:00,Urbana,Calle,NUESTRA SEÑORA DE ASUNCION,2200,EX VIA,-2.749.066,-5.881.855,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,"Despejado, Viento",Buena,Sin Semáforo,Transporte de carga
170,79451,2020-10-24,09:50:00,Urbana,Calle,NUESTRA SEÑORA DE ASUNCION,2200,EX VIA,-2.749.066,-5.881.855,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,"Despejado, Viento",Buena,Sin Semáforo,Motocicleta
171,85194,2020-10-23,08:08:00,Urbana,Avenida,AV J.R.VIDAL,1600,,-2.747.869,-5.881.471,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Motocicleta
172,85194,2020-10-23,08:08:00,Urbana,Avenida,AV J.R.VIDAL,1600,,-2.747.869,-5.881.471,1,1,0,2,0,,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
173,76286,2020-10-22,07:00:00,Urbana,Avenida,AV PUJOL,2400,VELEZ SARSFIELD,-2.746.847,-5.882.013,0,1,0,1,0,,1,Asfalto,Apto,Seca,Día,NO,,Buena,Sin Semáforo,Motocicleta
174,68921,2020-10-22,17:34:00,Urbana,Calle,AV.CARTAJENA,3700,TACUARI,-2.746.906,-5.883.372,2,0,0,2,0,Alcance,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
175,68921,2020-10-22,17:34:00,Urbana,Calle,AV.CARTAJENA,3700,TACUARI,-2.746.906,-5.883.372,2,0,0,2,0,Alcance,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,Automóvil
176,72457,2020-10-21,17:20:00,Urbana,Calle,SAN MARTIN,1200,MENDOZA,-2.746.990,-5.883.584,1,1,0,2,0,Angulo,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,Automóvil
