,id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo
202,48959,2018-09-24,23:40:00,Urbana,Avenida,AVENIDA MAIPU,ASUNCION,-2.749.126,-5.881.981,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Intermitente
203,49023,2018-10-18,14:10:00,Urbana,Avenida,AVENIDA 3 DE ABRIL,,-2.747.660,-5.882.878,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona
204,48857,2018-08-06,20:30:00,Urbana,Avenida,MEDRANO,BELGRANO,-2.747.820,-5.879.773,0,1,0,1,0,Despiste,1,Hormigón,Baches,Seca,Día,NO,Despejado,Buena,Sin Semáforo
205,48915,2018-09-11,16:00:00,Urbana,Calle,SAN JUAN,AVENIDA ITALIA,-2.746.209,-5.883.638,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
206,49101,2018-11-21,07:20:00,Urbana,Avenida,AV. ARMENIA,AV. CHACABUCO,-2.746.743,-5.881.201,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,Funciona
207,49029,2018-10-21,12:15:00,Urbana,Calle,MEDRANO,,-2.749.470,-5.879.986,3,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo
208,49181,2018-12-21,09:37:00,Urbana,Ruta Provincial,RUTA PROVINCIAL N°5,B° SANTA RITA,-2.748.616,-5.876.963,1,1,0,2,0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo
209,48799,2018-08-01,12:30:00,Urbana,Avenida,TENIENTE IBAÑEZ,GUASTAVINO,-2.748.462,-5.884.431,0,2,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo
210,48921,2018-09-09,22:15:00,Urbana,Calle,MENDOZA,AVENIDA TENIENTE IBAÑEZ,-2.748.528,-5.883.780,1,1,0,2,0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo
211,48855,2018-08-21,07:35:00,Urbana,Avenida,AV SANTA ROSA,LAVALLE,-2.747.854,-5.881.984,2,0,0,2,0,Colisión entre vehículos,2,Asfalto,,,Día,NO,Despejado,Buena,Sin Semáforo
