,lat,lng
96,-27.478438774008108,-58.81453222090392
97,-27.479036032606025,-58.81142065035632
98,-27.479068899948157,-58.811185136959935
99,-27.478958559376103,-58.81107664205444
100,-27.478723791952262,-58.81147092856984
101,-27.4786251894246,-58.811317447958096
102,-27.479242627125696,-58.80973236331961
103,-27.479139329736277,-58.809637099501664
104,-27.47891395338178,-58.80997846165784
105,-27.478794221944504,-58.80983556592252
106,-27.47882474169549,-58.80966356175509
107,-27.47950321739367,-58.80763391250357
108,-27.479507912682696,-58.80746190834229
109,-27.479414006186552,-58.80732959747221
110,-27.47919567340053,-58.80769212936946
111,-27.47909237596009,-58.80755981850164
112,-27.479667553274755,-58.80627375649024
113,-27.479566603934853,-58.8061335069683
114,-27.47933653313274,-58.806511916175445
115,-27.47922854048852,-58.806366374219486
116,-27.47925201712476,-58.8062155397965
117,-27.48108083287625,-58.80061349617589
118,-27.48112778537826,-58.800438845786736
119,-27.481012751610745,-58.80032770466448
120,-27.480733383503637,-58.80066112817984
121,-27.480658259143365,-58.80052617108747
122,-27.48174990416945,-58.79827688565662
123,-27.48165599958812,-58.79816309831148
124,-27.481386023592307,-58.79847799829965
125,-27.48127568534127,-58.79836950339413
126,-27.481331672535624,-58.7982181224753
127,-27.48262086457314,-58.79524431979532
128,-27.482543393893625,-58.7950537921287
129,-27.48228281047275,-58.795331645064735
130,-27.482221772771712,-58.79511200899787
131,-27.483026997397182,-58.793849762892776
132,-27.48305516840636,-58.79376243769708
133,-27.48299647871732,-58.79352957054042
134,-27.482778153045437,-58.79396355031943
135,-27.482634949843927,-58.79368569747945
136,-27.483956636669124,-58.78976929475009
137,-27.48396367933524,-58.78960258302398
138,-27.4838580388186,-58.78957876708847
139,-27.46136478697261,-58.78659413707169
140,-27.461726656536573,-58.8375975182119
141,-27.48363971482297,-58.78984603514303
142,-27.48354346427952,-58.78974018645199
143,-27.48406462434388,-58.78814848629255
144,-27.48394607230253,-58.78808100776562
145,-27.483743007691025,-58.78834959892546
146,-27.48363736695924,-58.78830725946501
147,-27.483647931001137,-58.78812202421313
148,-27.485108525463428,-58.77709777559363
149,-27.48507876508605,-58.77709258788381
150,-27.484721938115555,-58.77708200309714
151,-27.485155805260728,-58.776880326848186
152,-27.48529448606764,-58.7758727016864
153,-27.485259525443567,-58.77586738897749
154,-27.48490739413973,-58.77580123361491
155,-27.461705342695183,-58.83871043764601
156,-27.46162374826867,-58.8386886063682
157,-27.461528652534493,-58.83868728328197
158,-27.465127557804912,-58.83786331633933
159,-27.465332124008405,-58.83656633876599
160,-27.4653435700999,-58.83537289451223
161,-27.46553639612134,-58.83413115673939
162,-27.465577485141708,-58.83284046397254
163,-27.465774126169435,-58.83155175583197
164,-27.467374392968093,-58.83907511819029
165,-27.463546041578827,-58.82603918841301
166,-27.46363056955517,-58.825922754807394
167,-27.46980147492956,-58.8188128108593
168,-27.469485735290885,-58.818572883330255
169,-27.47029105324009,-58.81855700583123
170,-27.47031834702138,-58.81826724497007
171,-27.470447026214284,-58.81856425865264
172,-27.47048621865172,-58.81833075415848
173,-27.473699795767487,-58.81918085087713
174,-27.473824228283128,-58.81920731302598
175,-27.473732664704578,-58.8189612147877
176,-27.46702459332999,-58.81792722219185
177,-27.46684279025064,-58.81803097803324
178,-27.4673564851208,-58.812925193389184
179,-27.46756075394542,-58.81293048577624
180,-27.46728369938667,-58.811870675592935
181,-27.46746918501096,-58.81188390663802
182,-27.467077668715515,-58.809812579708485
183,-27.467281938053365,-58.8097993485706
184,-27.46705008048396,-58.8092740743824
185,-27.46726677918003,-58.80888209558423
186,-27.467868328943734,-58.80510694262718
187,-27.46775562922288,-58.8048873065724
188,-27.468090205852015,-58.80373223239353
189,-27.46825221111979,-58.80383014242291
190,-27.468641338669872,-58.79814447073771
191,-27.46884799543314,-58.79821107015873
192,-27.46664775959318,-58.79011989152666
193,-27.46679215634512,-58.79013550155325
194,-27.46585104266856,-58.78691810168645
195,-27.46607047228962,-58.78685667725237
196,-27.465248733352546,-58.7841062590397
197,-27.465186571400228,-58.78388405769512
198,-27.471201554719425,-58.81275276984139
199,-27.471094634871413,-58.81257547707747
200,-27.471286319800523,-58.81264347292791
201,-27.47122520182468,-58.81260830788226
202,-27.470525682466263,-58.80578283675281
203,-27.47066433359153,-58.80554331754035
204,-27.472779480040863,-58.80532047863516
205,-27.473036102041696,-58.80518214042818
206,-27.475001557140185,-58.79721879061502
207,-27.475181173778683,-58.79733964145463
208,-27.476672024016903,-58.81431598304366
209,-27.47668144082868,-58.8140835730341
210,-27.482910370637885,-58.81540280365317
211,-27.483028322047783,-58.81567659466713
212,-27.48303066958584,-58.815425203970825
213,-27.48665645618116,-58.8162984549968
214,-27.48667523622757,-58.81619657560511
215,-27.48668227872903,-58.816078818909126
216,-27.48651090904849,-58.80830820023468
217,-27.48668345099225,-58.80821558256883
218,-27.486385316966302,-58.807546089523946
219,-27.48634658293568,-58.80733703832308
220,-27.48650856135692,-58.80735820802728
221,-27.487140039034045,-58.80142538745856
222,-27.48734779240365,-58.801336739111136
223,-27.48740061064369,-58.79946189375238
224,-27.48741234807427,-58.79929518202509
225,-27.487621274699887,-58.79934281389663
226,-27.489110156975578,-58.789694041710256
227,-27.489302648213418,-58.78972182695189
228,-27.489147716226128,-58.78947837494664
