id_feu,siniestro_fecha,siniestro_hora,zona_ocurrencia,via_publica,nombre_via,entre_calle_1,latitud,longitud,ilesos,heridos,fallecidos,vehiculos,peatones,tipo_siniestro_unico,cantidad_de_involucrados,material_de_la_calzada,estado_de_la_calzada,estado_fisico_ambiental,luminosidad,luz_artificial,estado_ambiental,visibilidad,semaforo,anio,mes,dia
48962,2018-09-25,13:50:00,Urbana,Avenida,AV. TRES DE ABRIL,SAN LORENZO,-27.47639,-58.83254,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Funciona,2018,September,25
48914,2018-09-08,17:40:00,Urbana,Calle,AVENIDA 3 DE ABRIL,SALTA,-27.47531,-58.83968,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,,,NO,,Buena,,2018,September,8
48944,2018-09-19,09:00:00,Urbana,Avenida,PEDRO FERRE,,-27.47784,-58.81973,2.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,,,Funciona,2018,September,19
48870,2018-08-26,06:36:00,Urbana,Calle,LAMADRID,ELIAS ABAD,-27.48026,-58.84904,1.0,3.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Amanecer,SI,Despejado,Buena,,2018,August,26
48852,2018-08-20,21:05:00,Urbana,Avenida,AV SANTA ROSA,ÑAEMBE,-27.47905,-58.81992,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,Sin Semáforo,2018,August,20
49083,2018-11-12,14:00:00,Urbana,Avenida,AVENIDA J. R. FERNANDEZ,RIO TERCERO,-27.46457,-58.78866,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,Despejado,Buena,Sin Semáforo,2018,November,12
49122,2018-11-30,10:00:00,Urbana,Calle,SAN JUAN,HIRIGOYEN,-27.46864,-58.83685,3.0,0.0,0.0,3.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,,Día,NO,,,Sin Semáforo,2018,November,30
49025,2018-10-19,14:30:00,Urbana,Calle,RENACIMIENTO,,-27.50473,-58.79428,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Nublado,Buena,Sin Semáforo,2018,October,19
49043,2018-10-26,09:00:00,Urbana,Avenida,AV ARMENIA,QUINQUELA MARTIN,-27.4671,-58.79192,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,"Despejada, Seca",Día,NO,,,Sin Semáforo,2018,October,26
48821,2018-08-07,20:30:00,Urbana,Avenida,MAIPU,,-27.5021,-58.81267,0.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,2,,Apto,Seca,,NO,Despejado,Buena,Sin Semáforo,2018,August,7
48892,2018-08-30,18:30:00,Rural,Ruta Nacional,12,CAZADORES CTINOS.,-27.51841,-58.76784,1.0,2.0,0.0,3.0,0.0,Colisión entre vehículos,3,Asfalto,Apto,Seca,Día,NO,Despejado,,Sin Semáforo,2018,August,30
48978,2018-09-29,09:20:00,Urbana,Avenida,AVENIDA GOBERNADOR RUIZ,VELES ZARSFIELD,-27.4667,-58.81872,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,NO,Despejado,Buena,,2018,September,29
49098,2018-11-19,05:30:00,Urbana,Avenida,AV LIBERTAD,DARDO ROCHA,-27.46526,-58.78399,1.0,2.0,1.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Amanecer,SI,Despejado,Buena,Funciona,2018,November,19
49200,2018-12-30,19:30:00,Urbana,Ruta Provincial,RUTA PROVINCIAL N°5,,-27.48463,-58.77844,0.0,1.0,0.0,1.0,0.0,Caída desde vehículo,1,Asfalto,Apto,Mojada,Atardecer,NO,Lluvia,Lluvia,No Funciona,2018,December,30
48832,2018-08-10,14:10:00,Urbana,Avenida,AV ARMENIA,20DE MAYO,-27.46818,-58.8037,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Funciona,2018,August,10
48859,2018-08-21,14:20:00,Rural,Calle,REPUBLICA DOMINICANA,SUIZA,-27.47614,-58.81065,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Hormigón,Apto,Seca,Día,SI,Despejado,Buena,Sin Semáforo,2018,August,21
49159,2018-12-11,18:15:00,Urbana,Avenida,AV RAUL ALFONSIN,,-27.48754,-58.72507,1.0,1.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,,,Día,NO,Despejado,Buena,Sin Semáforo,2018,December,11
48945,2018-09-18,20:45:00,Urbana,Avenida,AV. ARMENIA,,-27.46695,-58.79089,2.0,0.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Noche,NO,Despejado,Buena,Sin Semáforo,2018,September,18
48980,2018-09-30,01:03:00,Urbana,Avenida,AVENIDA LIBERTAD,LOS TULIPANES,-27.46382,-58.77827,1.0,0.0,0.0,1.0,0.0,Caída desde vehículo,1,Asfalto,Apto,Seca,Noche,SI,Despejado,Buena,,2018,September,30
49189,2018-12-24,11:50:00,Urbana,Calle,SANTA FE,BELGRANO,-27.4731,-58.83106,1.0,2.0,0.0,2.0,0.0,Colisión entre vehículos,2,Asfalto,Apto,Seca,Día,NO,Despejado,Buena,Sin Semáforo,2018,December,24
